Идентификатор рейса,Количество BSM в данном рейсе
8636090.0,137
8636092.0,204
8636093.0,26
8636094.0,110
8636096.0,133
8636100.0,98
8636102.0,45
8636103.0,35
8636105.0,43
8636106.0,71
8636112.0,35
8636113.0,49
8636115.0,107
8636116.0,52
8636117.0,423
8636119.0,85
8636121.0,25
8636122.0,55
8636123.0,137
8636124.0,56
8636125.0,49
8636127.0,55
8636128.0,58
8636131.0,85
8636132.0,25
8636134.0,56
8636138.0,286
8636139.0,55
8636142.0,93
8636145.0,162
8636146.0,43
8636148.0,99
8636151.0,61
8636152.0,138
8636153.0,48
8636157.0,90
8636160.0,68
8636162.0,26
8636166.0,91
8636167.0,123
8636171.0,29
8636173.0,66
8636177.0,177
8636178.0,96
8636187.0,74
8636189.0,72
8636190.0,30
8636191.0,80
8636194.0,138
8636197.0,67
8636199.0,62
8636201.0,53
8636204.0,149
8636205.0,26
8636207.0,36
8636211.0,36
8636212.0,43
8636217.0,95
8636218.0,90
8636221.0,58
8636222.0,55
8636224.0,87
8636226.0,30
8636227.0,52
8636229.0,79
8636233.0,61
8636234.0,104
8636235.0,161
8636238.0,79
8636239.0,63
8637014.0,43
8636244.0,68
8636245.0,58
8636247.0,65
8636249.0,110
8636250.0,40
8636251.0,41
8636252.0,77
8636254.0,302
8636257.0,47
8636259.0,52
8636262.0,57
8636266.0,184
8636267.0,58
8636269.0,81
8636270.0,30
8636271.0,58
8636274.0,37
8636276.0,39
8636278.0,74
8636282.0,77
8636284.0,30
8636290.0,43
8636292.0,400
8636295.0,99
8636296.0,39
8636298.0,86
8636299.0,129
8636300.0,67
8636303.0,63
8636305.0,75
8636308.0,241
8636311.0,371
8636317.0,302
8636319.0,71
8636320.0,92
8636321.0,42
8636322.0,240
8636325.0,82
8636327.0,51
8636329.0,95
8636330.0,55
8636331.0,74
8636335.0,34
8636337.0,67
8636339.0,74
8636340.0,39
8636342.0,57
8636344.0,41
8636345.0,63
8636347.0,88
8636358.0,288
8636362.0,106
8636363.0,248
8636367.0,257
8636368.0,44
8636371.0,59
8636372.0,120
8636373.0,27
8636374.0,83
8636378.0,163
8636380.0,230
8636385.0,255
8636387.0,68
8636388.0,31
8636389.0,30
8636392.0,85
8636394.0,146
8636395.0,119
8636396.0,66
8636399.0,57
8636400.0,51
8636403.0,40
8636408.0,36
8649486.0,34
8636409.0,54
8636412.0,384
8636413.0,66
8636414.0,58
8636416.0,47
8636417.0,35
8636418.0,193
8636422.0,67
8636423.0,379
8636424.0,36
8636427.0,215
8636428.0,80
8636429.0,55
8636431.0,256
8636433.0,399
8636435.0,110
8636438.0,238
8636439.0,172
8636440.0,337
8636441.0,123
8636444.0,36
8636445.0,54
8636447.0,63
8636448.0,94
8636451.0,47
8636453.0,52
8636454.0,89
8636456.0,49
8636457.0,96
8636461.0,98
8636464.0,26
8636470.0,53
8636472.0,307
8636474.0,25
8636477.0,93
8636480.0,67
8636482.0,279
8636483.0,45
8636484.0,259
8636487.0,43
8636488.0,71
8636490.0,175
8636492.0,75
8649409.0,28
8636496.0,68
8636497.0,24
8636499.0,96
8636502.0,60
8641597.0,73
8636504.0,69
8636506.0,66
8636507.0,42
8637027.0,15
8636512.0,399
8636513.0,47
8636514.0,36
8636517.0,60
8636519.0,42
8636525.0,38
8637028.0,36
8636526.0,18
8636530.0,200
8636533.0,34
8636535.0,79
8636536.0,71
8636537.0,32
8636541.0,158
8636543.0,54
8636544.0,67
8636548.0,328
8636551.0,301
8636552.0,50
8636553.0,15
8636555.0,43
8636557.0,60
8636560.0,45
8636562.0,283
8636567.0,46
8636570.0,85
8636573.0,47
8636576.0,57
8636577.0,72
8636578.0,37
8636581.0,77
8636582.0,64
8636584.0,55
8636585.0,53
8636586.0,64
8636587.0,49
8636589.0,43
8636704.0,35
8636705.0,34
8636707.0,48
8636709.0,28
8636711.0,43
8636724.0,34
8636725.0,36
8636727.0,49
8636729.0,29
8636731.0,48
8636745.0,195
8636746.0,33
8636747.0,34
8636749.0,45
8636751.0,28
8636753.0,42
8636766.0,30
8636767.0,31
8636769.0,39
8636771.0,27
8636773.0,36
8636786.0,27
8636787.0,28
8636789.0,35
8636791.0,25
8636793.0,31
8636806.0,26
8636807.0,26
8636809.0,32
8636811.0,25
8636813.0,30
8636826.0,26
8636827.0,26
8636829.0,31
8636831.0,25
8637030.0,32
8636833.0,29
8636846.0,26
8636847.0,26
8636849.0,32
8636851.0,25
8636853.0,30
8636866.0,26
8636867.0,27
8636869.0,32
8636871.0,25
8636873.0,30
8636903.0,20
8636905.0,32
8636907.0,40
8636909.0,26
8636912.0,34
8636925.0,36
8636926.0,37
8636928.0,43
8636930.0,24
8636932.0,33
8636946.0,33
8636948.0,47
8636950.0,43
8636952.0,32
8636954.0,41
8636967.0,26
8636968.0,27
8636970.0,39
8636972.0,23
8636974.0,46
8631950.0,68
8631952.0,68
8649414.0,285
8631955.0,82
8631957.0,396
8628845.0,8
8628846.0,126
8628848.0,3
8628849.0,33
8628851.0,8
8628853.0,7
8628854.0,11
8628855.0,3
8628856.0,131
8628857.0,11
8628859.0,91
8628860.0,2
8628862.0,6
8628864.0,4
8628865.0,21
8628867.0,6
8628868.0,115
8628869.0,4
8628870.0,5
8628871.0,141
8628873.0,5
8628874.0,8
8628875.0,10
8628877.0,66
8628878.0,6
8628883.0,10
8628884.0,4
8628886.0,3
8628887.0,111
8628888.0,22
8628889.0,15
8628893.0,38
8628895.0,2
8628896.0,5
8628897.0,21
8628899.0,96
8628900.0,43
8628901.0,0
8628902.0,16
8628903.0,124
8628904.0,54
8628906.0,171
8628907.0,111
8628910.0,162
8628912.0,77
8628917.0,80
8628921.0,48
8628922.0,77
8628926.0,125
8628931.0,39
8628932.0,27
8628934.0,53
8628936.0,32
8628941.0,70
8628942.0,64
8628943.0,40
8628944.0,43
8628948.0,23
8628954.0,33
8628956.0,100
8628957.0,35
8628959.0,49
8628961.0,57
8628962.0,26
8628963.0,15
8628965.0,34
8628968.0,108
8628969.0,67
8628970.0,85
8628971.0,57
8628975.0,296
8628978.0,47
8628979.0,55
8628981.0,54
8628983.0,117
8628984.0,52
8628986.0,53
8628988.0,78
8628991.0,23
8628992.0,57
8628993.0,69
8628997.0,200
8628998.0,77
8628999.0,156
8629000.0,75
8629001.0,98
8629003.0,21
8629004.0,75
8629005.0,48
8629006.0,88
8629008.0,59
8629013.0,49
8629014.0,74
8629017.0,55
8629019.0,264
8629020.0,51
8629023.0,54
8629024.0,29
8629027.0,45
8629028.0,36
8629031.0,26
8629032.0,241
8629035.0,60
8629039.0,266
8629045.0,154
8629046.0,98
8629047.0,65
8629050.0,94
8629051.0,390
8629052.0,53
8629053.0,71
8629054.0,38
8629055.0,47
8629056.0,61
8629057.0,160
8629059.0,37
8629062.0,43
8629064.0,62
8629065.0,40
8629067.0,73
8629068.0,104
8629069.0,66
8629072.0,103
8629073.0,57
8629076.0,70
8629077.0,181
8629078.0,66
8629079.0,75
8629082.0,58
8629083.0,45
8629084.0,56
8629090.0,87
8629091.0,90
8629093.0,131
8629094.0,37
8629096.0,119
8629097.0,120
8629098.0,156
8629100.0,144
8629103.0,46
8629106.0,114
8629108.0,109
8629109.0,99
8629110.0,50
8629112.0,51
8629114.0,53
8629115.0,54
8629119.0,97
8629121.0,30
8629125.0,151
8629126.0,55
8629127.0,74
8629133.0,63
8629134.0,29
8629135.0,83
8629136.0,112
8629137.0,98
8629138.0,60
8629141.0,309
8629145.0,190
8629146.0,46
8629147.0,64
8629152.0,81
8629153.0,60
8629154.0,216
8629156.0,69
8629160.0,414
8629163.0,65
8629165.0,84
8629173.0,197
8629174.0,101
8629181.0,64
8629186.0,76
8629193.0,33
8629194.0,84
8629197.0,38
8629198.0,60
8629200.0,148
8629203.0,78
8636987.0,19
8629206.0,55
8629207.0,69
8629210.0,60
8629212.0,42
8629213.0,50
8629216.0,54
8629217.0,41
8629218.0,84
8636988.0,23
8629223.0,95
8629226.0,64
8629228.0,60
8629229.0,97
8629232.0,86
8629234.0,86
8629235.0,85
8629236.0,103
8629240.0,251
8629241.0,96
8629244.0,109
8629246.0,85
8629252.0,99
8629253.0,68
8629254.0,76
8629255.0,43
8629256.0,115
8629257.0,57
8629259.0,73
8629263.0,51
8629264.0,79
8629268.0,64
8629270.0,83
8629271.0,60
8629274.0,279
8629279.0,122
8629280.0,61
8629282.0,49
8629285.0,81
8629286.0,56
8629287.0,68
8629288.0,70
8629292.0,96
8629296.0,148
8629297.0,33
8629299.0,47
8629302.0,400
8629305.0,51
8636990.0,34
8629307.0,71
8629309.0,126
8629311.0,94
8629314.0,65
8629316.0,52
8629318.0,255
8629323.0,431
8629324.0,77
8629330.0,86
8629331.0,327
8629332.0,86
8629333.0,100
8629334.0,96
8629338.0,85
8629339.0,104
8629342.0,101
8629343.0,95
8629346.0,84
8629347.0,75
8629349.0,82
8629351.0,53
8629352.0,84
8629353.0,55
8629356.0,49
8629359.0,99
8629360.0,60
8629361.0,66
8629370.0,311
8629372.0,112
8629375.0,101
8629377.0,58
8629378.0,271
8629381.0,121
8629383.0,78
8629386.0,196
8629390.0,226
8629392.0,267
8629396.0,-14
8629397.0,65
8629398.0,72
8629399.0,48
8629401.0,33
8629405.0,43
8629406.0,77
8629409.0,49
8629410.0,130
8629414.0,35
8629415.0,56
8629417.0,75
8629419.0,45
8629420.0,39
8629421.0,63
8629426.0,168
8629427.0,61
8629428.0,364
8629429.0,52
8629433.0,209
8629434.0,164
8629435.0,64
8629437.0,74
8629439.0,250
8629440.0,119
8629443.0,437
8629446.0,108
8629450.0,261
8629452.0,38
8629453.0,61
8629455.0,125
8629456.0,52
8629457.0,56
8629460.0,44
8629463.0,93
8629464.0,56
8629467.0,127
8629468.0,90
8629473.0,43
8629474.0,268
8629476.0,58
8629477.0,31
8629479.0,68
8629480.0,252
8629482.0,92
8629486.0,90
8629491.0,62
8629492.0,58
8629495.0,68
8629497.0,71
8629502.0,67
8629503.0,290
8629504.0,69
8629508.0,63
8629511.0,49
8629512.0,217
8629515.0,376
8629516.0,49
8629517.0,58
8629521.0,44
8629522.0,56
8629525.0,62
8629526.0,65
8629527.0,180
8629529.0,72
8629530.0,180
8629532.0,24
8629534.0,187
8629535.0,64
8629540.0,75
8629541.0,266
8629543.0,274
8629545.0,57
8629549.0,67
8629552.0,62
8629553.0,66
8629554.0,62
8629563.0,73
8629565.0,47
8629566.0,81
8629568.0,51
8629571.0,75
8629572.0,16
8629575.0,48
8629577.0,51
8629579.0,62
8629580.0,60
8629581.0,56
8629583.0,58
8629743.0,55
8629745.0,52
8629748.0,77
8629749.0,68
8629750.0,77
8629752.0,68
8629753.0,53
8629754.0,51
8629755.0,226
8629757.0,127
8629759.0,133
8629760.0,93
8629761.0,43
8629762.0,38
8629765.0,37
8629766.0,44
8629768.0,29
8629769.0,229
8629770.0,33
8629772.0,72
8629773.0,49
8629776.0,128
8629777.0,75
8636992.0,23
8629781.0,171
8629782.0,54
8629784.0,36
8629785.0,36
8629786.0,62
8629790.0,154
8629791.0,57
8629792.0,39
8629794.0,33
8629797.0,57
8629798.0,53
8629799.0,85
8629800.0,133
8629802.0,219
8629803.0,106
8629805.0,53
8629809.0,149
8629811.0,116
8629812.0,145
8629816.0,150
8629819.0,77
8629822.0,39
8629823.0,68
8629826.0,117
8629833.0,15
8629834.0,42
8629837.0,36
8629841.0,55
8629843.0,83
8629845.0,70
8629848.0,40
8629849.0,25
8629850.0,41
8629853.0,38
8629856.0,33
8629859.0,105
8629860.0,61
8629862.0,57
8629863.0,21
8629864.0,38
8629866.0,66
8629869.0,40
8629870.0,108
8629872.0,64
8629873.0,180
8629874.0,56
8629877.0,41
8629878.0,55
8629879.0,51
8629885.0,120
8629886.0,49
8629887.0,65
8629888.0,80
8629889.0,30
8629892.0,206
8629894.0,75
8629895.0,62
8629896.0,79
8629898.0,150
8629899.0,86
8629900.0,108
8629901.0,80
8629902.0,64
8629904.0,114
8629907.0,62
8629908.0,90
8629909.0,25
8629910.0,50
8629913.0,257
8629915.0,60
8629919.0,45
8629921.0,57
8629922.0,24
8629926.0,45
8629928.0,41
8629930.0,28
8629931.0,60
8629937.0,104
8649470.0,78
8629942.0,231
8629945.0,149
8629947.0,104
8629948.0,93
8629949.0,69
8629950.0,73
8629954.0,50
8629956.0,44
8629957.0,79
8629959.0,44
8629961.0,48
8629962.0,29
8629964.0,55
8629965.0,53
8629966.0,68
8629969.0,116
8629970.0,106
8629972.0,41
8629973.0,51
8629975.0,73
8629976.0,155
8629977.0,63
8629978.0,57
8629981.0,85
8629982.0,222
8629983.0,62
8629984.0,59
8629986.0,80
8629990.0,88
8629991.0,85
8629994.0,132
8629997.0,193
8629998.0,37
8629999.0,118
8630004.0,135
8630005.0,112
8630007.0,46
8630009.0,39
8630010.0,102
8630011.0,50
8630014.0,46
8630016.0,91
8630017.0,51
8630019.0,75
8630020.0,101
8630023.0,28
8630025.0,90
8630026.0,435
8630027.0,56
8630028.0,142
8630029.0,63
8630030.0,54
8630032.0,69
8630034.0,63
8630036.0,33
8630037.0,92
8630039.0,109
8630043.0,300
8630045.0,105
8630047.0,55
8630048.0,153
8630052.0,63
8630054.0,48
8630055.0,101
8630059.0,122
8630060.0,54
8630064.0,67
8630066.0,79
8630069.0,80
8630073.0,107
8630075.0,162
8630077.0,37
8630080.0,68
8630082.0,202
8630084.0,73
8630093.0,81
8630094.0,91
8630097.0,85
8630098.0,42
8630100.0,158
8630104.0,90
8630105.0,110
8630106.0,56
8630110.0,41
8630113.0,48
8630114.0,149
8630117.0,61
8630118.0,43
8630122.0,106
8630123.0,109
8630126.0,61
8630127.0,60
8630131.0,56
8630132.0,87
8630133.0,44
8630135.0,114
8630136.0,89
8630141.0,98
8630142.0,81
8630144.0,69
8630146.0,218
8630151.0,67
8630152.0,39
8630153.0,104
8630155.0,55
8630156.0,46
8630157.0,80
8630158.0,72
8630159.0,84
8630162.0,71
8630165.0,62
8630167.0,62
8630171.0,317
8630173.0,83
8630174.0,60
8630177.0,49
8630179.0,67
8630180.0,54
8630184.0,71
8630188.0,99
8630190.0,40
8630194.0,63
8630197.0,408
8630199.0,69
8630202.0,50
8630205.0,92
8630208.0,136
8630209.0,64
8630211.0,94
8630213.0,86
8630215.0,249
8630218.0,434
8630225.0,324
8630226.0,89
8630227.0,85
8630228.0,110
8630231.0,248
8630232.0,83
8630235.0,57
8630236.0,109
8630237.0,60
8630239.0,66
8630243.0,55
8630245.0,79
8630247.0,54
8630248.0,82
8630251.0,111
8630252.0,51
8630253.0,101
8630257.0,49
8630268.0,318
8630269.0,95
8630272.0,281
8630275.0,270
8630276.0,61
8630279.0,135
8630280.0,71
8630282.0,48
8630283.0,64
8630284.0,368
8630287.0,211
8630293.0,259
8630294.0,75
8630295.0,41
8630296.0,44
8630297.0,119
8630299.0,32
8630301.0,70
8630303.0,120
8630306.0,39
8630308.0,71
8630310.0,54
8630314.0,34
8630316.0,66
8630317.0,66
8630318.0,465
8630319.0,77
8630321.0,52
8630323.0,57
8630325.0,164
8630326.0,72
8630327.0,381
8630328.0,48
8630331.0,205
8630332.0,66
8630335.0,56
8630337.0,249
8630340.0,444
8630341.0,114
8630344.0,226
8630345.0,195
8630346.0,174
8630347.0,344
8630350.0,59
8630351.0,54
8630354.0,87
8630356.0,65
8630357.0,61
8630358.0,47
8630361.0,87
8630365.0,131
8630366.0,59
8630368.0,88
8630374.0,37
8630376.0,54
8630379.0,322
8630382.0,43
8630384.0,93
8630387.0,77
8630388.0,267
8630390.0,60
8630393.0,57
8630395.0,137
8630397.0,195
8630399.0,75
8630402.0,73
8630403.0,86
8630406.0,21
8630409.0,68
8630410.0,65
8630412.0,53
8630414.0,53
8630418.0,48
8630421.0,45
8630424.0,55
8630426.0,58
8630430.0,53
8630432.0,71
8630437.0,181
8630438.0,13
8630439.0,74
8630441.0,47
8630442.0,72
8630447.0,169
8630448.0,51
8630449.0,60
8630452.0,423
8630456.0,62
8630458.0,25
8630459.0,64
8630463.0,35
8630464.0,256
8630471.0,83
8630472.0,79
8630475.0,58
8630477.0,76
8630478.0,10
8630481.0,67
8630483.0,55
8630485.0,52
8630487.0,67
8630490.0,57
8630491.0,64
8630493.0,47
8630494.0,58
8630613.0,78
8630614.0,30
8630617.0,36
8630619.0,53
8630623.0,44
8630624.0,79
8630625.0,71
8630627.0,79
8630629.0,53
8630631.0,220
8630632.0,50
8630634.0,94
8630635.0,129
8630638.0,38
8630639.0,40
8630640.0,43
8630641.0,38
8630643.0,30
8630644.0,115
8630645.0,226
8630647.0,52
8630648.0,33
8630649.0,120
8630650.0,84
8630652.0,76
8630653.0,67
8630654.0,192
8630655.0,67
8630659.0,256
8630661.0,67
8630664.0,37
8630665.0,36
8630666.0,81
8630671.0,35
8630672.0,47
8630673.0,42
8630675.0,49
8630676.0,44
8630677.0,126
8630678.0,71
8630679.0,110
8630680.0,88
8630681.0,199
8630685.0,136
8630687.0,84
8630689.0,137
8630693.0,74
8630697.0,32
8630698.0,54
8630703.0,112
8630707.0,12
8630709.0,36
8630715.0,33
8630716.0,52
8630719.0,64
8630721.0,68
8630722.0,37
8630726.0,38
8641599.0,74
8630727.0,29
8630731.0,35
8630734.0,35
8630737.0,107
8630740.0,56
8630742.0,15
8630743.0,56
8630744.0,32
8630747.0,40
8630748.0,104
8630749.0,62
8630751.0,86
8630752.0,54
8630754.0,374
8630757.0,42
8630758.0,48
8630762.0,69
8630765.0,52
8630766.0,118
8630768.0,46
8630769.0,33
8630770.0,81
8630774.0,69
8630775.0,61
8630776.0,207
8630777.0,79
8630780.0,84
8630782.0,78
8630783.0,111
8630785.0,63
8630786.0,34
8630787.0,242
8630789.0,60
8630790.0,90
8630792.0,48
8630795.0,154
8630797.0,57
8630798.0,47
8630802.0,58
8630803.0,20
8630808.0,44
8630809.0,42
8630811.0,26
8630812.0,60
8630818.0,101
8630821.0,89
8630822.0,142
8630824.0,108
8630826.0,242
8630828.0,70
8630829.0,201
8630831.0,67
8630834.0,47
8630835.0,74
8630837.0,43
8630838.0,61
8630839.0,85
8630840.0,51
8630843.0,43
8630844.0,67
8630846.0,54
8630847.0,21
8630848.0,68
8630849.0,71
8630851.0,38
8630852.0,49
8630856.0,51
8630857.0,73
8630858.0,81
8630860.0,56
8648744.0,54
8630864.0,58
8630865.0,52
8630869.0,87
8630870.0,79
8630873.0,128
8630875.0,35
8630876.0,203
8630877.0,112
8630878.0,97
8630883.0,135
8630884.0,38
8630886.0,62
8630889.0,45
8630892.0,96
8630893.0,49
8630895.0,50
8630896.0,76
8630897.0,44
8630899.0,103
8630901.0,28
8630904.0,56
8630905.0,137
8630906.0,56
8630910.0,63
8630911.0,62
8630912.0,32
8630913.0,83
8630914.0,97
8630917.0,56
8630922.0,295
8630923.0,102
8630925.0,55
8630928.0,64
8630929.0,147
8630931.0,47
8630934.0,127
8630935.0,51
8630937.0,410
8630938.0,75
8630944.0,77
8630945.0,83
8630947.0,186
8630949.0,70
8630953.0,138
8630954.0,101
8630958.0,67
8630961.0,243
8630965.0,75
8630974.0,142
8630975.0,39
8630976.0,88
8630979.0,152
8630985.0,54
8630986.0,100
8630989.0,149
8630991.0,51
8630995.0,37
8630996.0,45
8630998.0,91
8630999.0,43
8631000.0,56
8631004.0,90
8631006.0,100
8631009.0,58
8631010.0,98
8631011.0,66
8631013.0,78
8631014.0,85
8631015.0,87
8631019.0,57
8631022.0,101
8631025.0,78
8631027.0,65
8631033.0,63
8631034.0,105
8631037.0,119
8631038.0,48
8631039.0,55
8631040.0,78
8631041.0,71
8631043.0,91
8631045.0,49
8631048.0,69
8631050.0,60
8631053.0,59
8631055.0,284
8631058.0,153
8631059.0,46
8631063.0,59
8631064.0,50
8631066.0,67
8631067.0,45
8631070.0,89
8631074.0,36
8631077.0,65
8631081.0,410
8631083.0,67
8631084.0,66
8631086.0,65
8631089.0,90
8631091.0,134
8631094.0,69
8631098.0,77
8651525.0,37
8631099.0,281
