departure_terminal,checkin_terminal,airline_grouped_hash,cco_hash,flt_hash,m_city_rus1,m_city_rus2,config,sum_bsm,t_st_year,t_st_month,t_st_day,t_st_hour,t_st_minute,t_st_second
0,0,21,34,62,0,84,87,25,2023,7,8,12,25,0
0,0,21,34,419,0,84,87,6,2023,7,6,8,50,0
0,0,21,34,476,0,89,196,91,2023,7,8,12,35,0
1,1,14,14,519,0,10,189,87,2023,7,8,12,35,0
0,0,21,34,581,0,41,158,52,2023,7,8,12,55,0
0,0,21,34,207,0,57,183,89,2023,7,8,13,5,0
0,0,21,34,7,0,34,87,34,2023,7,8,13,25,0
0,0,27,27,114,0,101,93,33,2023,7,8,13,25,0
0,0,21,34,406,0,89,158,88,2023,7,8,13,25,0
0,0,21,34,232,0,84,87,23,2023,7,6,12,0,0
0,1,28,28,408,0,86,189,57,2023,7,8,13,30,0
0,0,21,34,591,0,44,183,116,2023,7,8,13,30,0
0,0,21,34,238,0,104,158,36,2023,7,8,13,35,0
0,0,21,34,551,0,90,158,60,2023,7,8,13,40,0
0,0,21,34,390,0,82,158,52,2023,7,8,13,40,0
0,0,21,34,432,0,99,87,33,2023,7,8,13,50,0
0,0,21,34,375,0,84,87,21,2023,7,8,13,50,0
1,1,29,29,583,0,8,240,173,2023,7,8,13,50,0
0,1,28,28,57,0,44,189,95,2023,7,8,14,0,0
0,0,21,34,36,0,109,183,62,2023,7,8,14,0,0
0,0,21,34,203,0,97,87,42,2023,7,8,14,0,0
0,0,21,34,5,0,44,183,122,2023,7,8,14,15,0
0,0,21,34,437,0,56,158,94,2023,7,8,14,20,0
0,1,28,28,293,0,24,189,58,2023,7,8,14,20,0
0,0,21,34,220,0,89,158,79,2023,7,8,14,20,0
0,0,21,34,536,0,100,158,74,2023,7,8,14,25,0
0,0,21,34,404,0,84,158,67,2023,7,8,14,25,0
1,1,34,34,145,0,13,158,79,2023,7,8,14,25,0
0,0,21,34,152,0,89,183,114,2023,7,8,14,30,0
1,1,34,34,306,0,8,402,221,2023,7,8,14,35,0
1,1,34,34,197,0,35,158,101,2023,7,8,14,40,0
0,0,21,34,568,0,24,158,63,2023,7,8,14,45,0
1,1,34,34,223,0,58,140,68,2023,7,8,14,45,0
0,0,21,34,277,0,57,183,100,2023,7,8,15,5,0
0,0,21,34,280,0,41,140,43,2023,7,8,15,5,0
0,0,21,34,563,0,44,183,83,2023,7,8,15,5,0
0,0,21,34,452,0,60,158,94,2023,7,8,15,10,0
0,0,21,34,380,0,90,87,49,2023,7,8,15,10,0
0,0,21,34,118,0,61,183,47,2023,7,8,15,10,0
0,0,21,34,513,0,75,158,74,2023,7,8,15,15,0
0,0,21,34,60,0,34,158,83,2023,7,8,15,20,0
1,1,26,26,386,0,58,107,26,2023,7,3,9,55,0
0,0,21,34,311,0,84,158,57,2023,7,8,15,20,0
0,1,28,28,577,0,108,189,61,2023,7,8,15,30,0
0,0,21,34,328,0,84,158,51,2023,7,8,15,30,0
0,0,21,34,188,0,56,158,48,2023,7,8,15,35,0
0,0,21,34,384,0,22,373,252,2023,7,8,15,40,0
0,0,16,16,251,0,84,148,74,2023,7,8,15,45,0
0,0,21,34,90,0,100,158,59,2023,7,8,15,50,0
0,0,21,34,259,0,34,183,83,2023,7,8,15,50,0
0,0,21,34,176,0,11,87,35,2023,7,8,15,50,0
0,1,28,28,179,0,84,189,46,2023,7,8,15,55,0
0,0,21,34,325,0,86,140,61,2023,7,8,16,5,0
0,0,21,34,206,0,41,158,30,2023,7,8,16,5,0
0,0,21,34,180,0,89,158,80,2023,7,8,16,15,0
0,0,21,34,590,0,84,87,18,2023,7,8,16,25,0
0,0,16,16,264,0,56,189,170,2023,7,8,16,25,0
0,0,21,34,45,0,64,156,39,2023,7,8,16,30,0
0,0,21,34,330,0,77,402,378,2023,7,8,16,35,0
0,0,21,34,75,0,44,196,125,2023,7,8,16,40,0
0,0,21,34,99,0,109,156,45,2023,7,8,16,40,0
0,0,22,25,407,0,70,189,76,2023,7,8,16,40,0
1,1,34,34,587,0,91,158,114,2023,7,8,16,45,0
0,0,21,34,361,0,37,87,26,2023,7,8,16,50,0
0,0,21,34,478,0,82,158,44,2023,7,8,16,55,0
0,0,21,34,487,0,22,316,237,2023,7,8,17,0,0
0,0,21,34,159,0,116,402,343,2023,7,8,17,5,0
1,1,26,26,102,0,58,107,93,2023,7,8,17,5,0
0,0,21,34,401,0,84,87,14,2023,7,6,14,10,0
0,0,21,34,231,0,103,402,256,2023,7,8,17,15,0
1,1,30,30,253,0,73,298,263,2023,7,8,17,15,0
0,0,22,25,111,0,41,189,81,2023,7,8,17,20,0
0,1,28,28,308,0,44,189,81,2023,7,8,17,20,0
0,0,21,34,545,0,24,87,38,2023,7,8,17,20,0
0,0,21,34,569,0,39,158,98,2023,7,8,17,25,0
0,0,21,34,377,0,57,183,75,2023,7,8,17,30,0
0,0,21,34,473,0,89,170,106,2023,7,8,17,30,0
0,0,21,34,580,0,75,158,53,2023,7,8,17,40,0
0,1,28,28,553,0,89,189,78,2023,7,8,17,40,0
0,1,28,28,121,0,57,189,59,2023,7,8,16,50,0
0,0,21,34,312,0,100,87,46,2023,7,8,17,50,0
0,1,28,28,585,0,60,189,51,2023,7,8,17,50,0
0,0,21,34,565,0,60,183,63,2023,7,8,17,55,0
0,0,21,34,189,0,70,87,47,2023,7,8,17,55,0
0,0,21,34,574,0,84,158,51,2023,7,8,18,0,0
1,1,34,34,464,0,35,158,74,2023,7,8,18,0,0
0,0,21,34,403,0,22,316,248,2023,7,8,18,25,0
1,1,34,34,450,0,33,158,89,2023,7,8,18,25,0
1,1,24,22,225,0,73,286,626,2023,7,8,18,30,0
0,0,21,34,347,0,61,87,34,2023,7,8,18,30,0
0,0,21,34,357,0,44,183,132,2023,7,8,18,35,0
1,1,34,34,249,0,58,158,75,2023,7,8,18,35,0
0,1,28,28,140,0,56,189,50,2023,7,8,18,35,0
0,0,21,34,586,0,103,402,253,2023,7,8,18,40,0
1,1,34,34,457,0,31,427,441,2023,7,8,18,40,0
1,1,12,12,531,0,73,301,289,2023,7,8,18,45,0
0,1,28,28,449,0,84,189,34,2023,7,8,19,5,0
0,0,21,34,112,0,34,183,161,2023,7,8,19,5,0
0,0,21,34,339,0,57,87,43,2023,7,8,19,10,0
0,1,28,28,267,0,89,189,95,2023,7,8,19,10,0
0,0,21,34,397,0,82,158,41,2023,7,8,19,15,0
0,1,28,28,436,0,24,189,57,2023,7,8,19,15,0
0,0,27,27,14,0,110,50,28,2023,7,8,19,15,0
0,0,21,34,22,0,109,158,54,2023,7,8,19,20,0
1,1,30,30,517,0,113,298,237,2023,7,8,19,25,0
0,0,21,34,261,0,86,87,26,2023,7,8,19,30,0
0,0,21,34,398,0,41,183,35,2023,7,8,19,30,0
0,0,21,34,323,0,89,158,93,2023,7,8,19,35,0
0,0,21,34,194,0,84,87,22,2023,7,8,19,40,0
0,0,21,34,88,0,60,87,34,2023,7,8,19,40,0
0,1,28,28,433,0,23,189,77,2023,7,8,19,40,0
1,1,34,34,495,0,95,296,141,2023,7,8,19,45,0
0,0,21,34,413,0,77,402,395,2023,7,8,19,50,0
0,0,21,34,488,0,84,183,88,2023,7,8,19,50,0
0,1,28,28,510,0,108,189,48,2023,7,8,19,50,0
0,0,16,16,431,0,98,189,184,2023,7,8,19,55,0
1,1,9,9,158,0,73,292,239,2023,7,8,19,55,0
0,1,28,28,446,0,47,189,62,2023,7,8,20,0,0
0,0,22,25,260,0,41,189,107,2023,7,8,20,0,0
1,1,34,34,24,0,113,402,293,2023,7,8,20,5,0
0,0,21,34,53,0,44,183,120,2023,7,8,20,10,0
0,0,21,34,576,0,51,457,303,2023,7,8,20,10,0
1,1,30,30,379,0,88,298,264,2023,7,8,20,15,0
0,0,21,34,448,0,22,402,312,2023,7,8,20,25,0
0,0,21,34,471,0,61,87,27,2023,7,8,20,30,0
0,0,21,34,388,0,84,140,55,2023,7,8,20,30,0
0,0,21,34,538,0,50,156,63,2023,7,8,20,35,0
1,1,6,6,543,0,16,168,167,2023,7,8,23,50,0
0,0,21,34,552,0,75,158,38,2023,7,8,20,40,0
0,0,21,34,126,0,66,140,47,2023,7,8,20,40,0
0,1,28,28,28,0,15,189,73,2023,7,8,20,45,0
0,0,21,34,567,0,100,158,44,2023,7,8,20,50,0
1,1,34,34,202,0,6,296,163,2023,7,8,20,50,0
0,1,28,28,125,0,39,189,100,2023,7,8,20,50,0
0,0,21,34,383,0,84,158,23,2023,7,8,21,0,0
0,0,21,34,296,0,103,402,250,2023,7,8,21,5,0
0,0,21,34,200,0,57,158,51,2023,7,8,21,10,0
0,0,21,34,241,0,84,87,5,2023,7,8,21,10,0
1,1,34,34,298,0,14,402,271,2023,7,8,21,15,0
1,1,34,34,346,0,13,140,63,2023,7,8,21,15,0
1,1,34,34,573,0,91,158,93,2023,7,8,21,15,0
0,0,21,34,572,0,39,158,99,2023,7,8,21,20,0
0,0,21,34,459,0,84,158,28,2023,7,8,21,30,0
0,0,21,34,447,0,34,158,111,2023,7,8,21,30,0
0,0,21,34,160,0,92,183,87,2023,7,8,21,45,0
0,0,21,34,132,0,11,183,69,2023,7,8,21,50,0
1,1,34,34,0,0,102,158,63,2023,7,8,21,55,0
0,0,21,34,479,0,51,373,95,2023,7,8,21,55,0
0,1,28,28,235,0,69,189,63,2023,7,8,22,0,0
0,0,21,34,588,0,50,158,59,2023,7,8,22,0,0
0,0,21,34,319,0,64,183,52,2023,7,8,22,5,0
1,1,34,34,117,0,54,402,279,2023,7,8,22,5,0
0,0,21,34,91,0,77,427,379,2023,7,8,22,10,0
0,0,21,34,469,0,41,158,35,2023,7,8,22,15,0
0,0,21,34,59,0,69,183,53,2023,7,8,22,15,0
0,0,21,34,571,0,44,158,93,2023,7,3,16,10,0
0,0,21,34,35,0,99,140,49,2023,7,8,22,20,0
0,0,21,34,191,0,65,158,71,2023,7,8,22,20,0
0,0,21,34,509,0,37,87,36,2023,7,8,22,30,0
0,0,21,34,273,0,34,158,53,2023,7,8,22,30,0
1,1,10,10,372,0,112,301,295,2023,7,8,22,35,0
0,0,21,34,138,0,82,158,57,2023,7,8,22,35,0
1,1,34,34,229,0,0,183,126,2023,7,8,22,35,0
0,0,21,34,343,0,22,316,233,2023,7,8,22,40,0
0,0,21,34,351,0,93,87,54,2023,7,8,22,40,0
0,0,21,34,535,0,63,183,47,2023,7,8,22,45,0
0,0,21,34,472,0,46,0,81,2023,7,8,22,45,0
0,0,21,34,402,0,103,316,224,2023,7,8,22,50,0
1,1,24,22,540,0,115,286,424,2023,7,8,22,55,0
0,0,21,34,475,0,60,158,58,2023,7,8,22,55,0
0,1,28,28,348,0,50,189,82,2023,7,8,23,0,0
0,0,21,34,248,0,116,457,375,2023,7,8,23,5,0
0,0,21,34,373,0,24,158,73,2023,7,8,23,10,0
0,0,21,34,481,0,96,0,41,2023,7,8,23,15,0
0,0,21,34,530,0,84,158,45,2023,7,8,23,15,0
0,1,28,28,320,0,109,189,62,2023,7,8,23,20,0
1,1,34,34,66,0,91,158,112,2023,7,8,23,30,0
0,0,21,34,514,0,56,158,50,2023,7,8,23,30,0
0,0,22,25,135,0,70,220,99,2023,7,8,23,30,0
0,1,28,28,254,0,100,189,45,2023,7,8,23,35,0
0,0,21,34,292,0,97,170,50,2023,7,8,23,40,0
0,1,28,28,474,0,92,189,53,2023,7,8,23,40,0
0,0,21,34,527,0,34,87,25,2023,7,8,23,45,0
0,1,28,28,322,0,66,189,62,2023,7,8,23,50,0
1,1,34,34,534,0,10,158,61,2023,7,8,23,50,0
0,0,21,34,285,0,50,156,48,2023,7,8,23,55,0
0,0,21,34,453,0,61,87,35,2023,7,8,23,55,0
1,1,34,34,503,0,58,140,80,2023,7,8,23,55,0
1,1,29,29,321,0,8,312,225,2023,7,1,11,55,0
0,0,21,34,265,0,109,158,46,2023,7,9,0,5,0
0,0,21,34,385,0,41,183,35,2023,7,9,0,10,0
0,0,21,34,169,0,25,158,94,2023,7,9,0,10,0
0,0,21,34,326,0,1,196,80,2023,7,9,0,15,0
1,1,34,34,451,0,20,158,96,2023,7,9,0,15,0
1,1,34,34,71,0,83,158,66,2023,7,9,0,15,0
0,1,28,28,47,0,34,189,84,2023,7,9,0,20,0
0,0,21,34,526,0,97,158,34,2023,7,9,0,25,0
1,1,22,25,371,0,19,189,171,2023,7,9,0,25,0
0,0,16,16,39,0,96,189,122,2023,7,9,0,30,0
0,0,21,34,156,0,15,158,85,2023,7,9,0,30,0
0,0,16,16,209,0,66,189,162,2023,7,9,0,30,0
0,1,28,28,262,0,100,189,43,2023,7,9,0,35,0
0,0,21,34,104,0,70,156,50,2023,7,9,0,35,0
0,0,21,34,307,0,69,158,52,2023,7,9,0,40,0
0,1,28,28,584,0,75,189,47,2023,7,9,0,40,0
0,0,21,34,172,0,100,183,64,2023,7,9,0,45,0
0,0,21,34,458,0,84,170,37,2023,7,9,0,50,0
1,1,17,17,316,0,32,254,238,2023,7,9,0,50,0
0,0,21,34,192,0,104,158,77,2023,7,9,1,0,0
0,0,21,34,414,0,50,183,61,2023,7,9,1,0,0
0,0,21,34,295,0,66,156,83,2023,7,9,1,5,0
1,1,34,34,245,0,72,183,173,2023,7,9,1,5,0
0,0,21,34,470,0,22,316,218,2023,7,9,1,20,0
0,0,21,34,359,0,39,158,113,2023,7,9,1,25,0
0,0,21,34,87,0,84,158,21,2023,7,9,1,30,0
0,0,21,34,332,0,97,87,23,2023,7,9,1,30,0
0,0,21,34,38,0,92,183,77,2023,7,9,1,35,0
1,1,34,34,582,0,17,183,120,2023,7,9,1,45,0
0,0,21,34,511,0,63,158,38,2023,7,9,1,50,0
0,0,21,34,283,0,75,158,44,2023,7,9,1,50,0
0,0,21,34,440,0,96,158,40,2023,7,9,1,50,0
1,1,34,34,44,0,45,158,54,2023,7,9,2,0,0
0,0,21,34,542,0,34,140,50,2023,7,9,2,5,0
0,0,21,34,106,0,89,183,87,2023,7,9,2,10,0
1,1,6,6,147,0,16,138,127,2023,7,9,2,10,0
0,0,21,34,150,0,67,156,115,2023,7,9,2,20,0
1,1,34,34,532,0,8,296,203,2023,7,9,2,20,0
1,1,3,34,235,0,49,87,32,2023,7,9,2,35,0
1,1,4,4,466,0,8,189,140,2023,7,9,2,45,0
1,1,35,35,537,0,35,131,122,2023,7,9,2,50,0
1,1,11,11,505,0,106,202,151,2023,7,9,3,20,0
1,1,6,6,435,0,16,138,135,2023,7,9,4,30,0
0,0,21,34,502,0,89,158,56,2023,7,9,4,55,0
0,0,21,34,430,0,89,170,69,2023,7,9,5,30,0
0,1,28,28,366,0,41,189,35,2023,7,9,5,30,0
1,1,20,20,136,0,35,220,103,2023,7,9,5,50,0
0,0,21,34,365,0,84,158,25,2023,7,9,6,0,0
0,0,21,34,444,0,61,87,26,2023,7,9,6,0,0
0,0,21,34,72,0,82,183,32,2023,7,9,6,15,0
0,0,21,34,42,0,89,158,67,2023,7,9,6,20,0
0,0,21,34,418,0,66,183,51,2023,7,9,6,25,0
0,0,21,34,468,0,89,196,80,2023,7,9,6,25,0
0,0,21,34,477,0,41,158,37,2023,7,9,6,30,0
0,0,21,34,441,0,70,87,21,2023,7,9,6,30,0
0,0,21,34,52,0,92,87,15,2023,7,9,6,30,0
0,0,21,34,27,0,24,87,27,2023,7,9,6,40,0
0,0,21,34,499,0,34,87,30,2023,7,9,6,45,0
0,0,21,34,410,0,44,183,127,2023,7,9,6,45,0
0,0,21,34,592,0,64,87,21,2023,7,9,6,55,0
0,1,28,28,26,0,11,189,66,2023,7,9,7,0,0
0,0,21,34,217,0,84,156,24,2023,7,9,7,0,0
0,1,28,28,92,0,52,189,54,2023,7,9,7,0,0
0,0,21,34,49,0,109,140,30,2023,7,9,7,0,0
0,0,21,34,127,0,93,158,40,2023,7,9,7,5,0
0,0,21,34,204,0,60,87,62,2023,7,9,7,10,0
0,0,21,34,84,0,44,183,115,2023,7,9,7,10,0
1,1,3,3,246,0,114,189,134,2023,7,9,7,15,0
0,0,21,34,305,0,89,0,112,2023,7,9,7,15,0
0,0,21,34,426,0,39,158,68,2023,7,9,7,20,0
0,1,28,28,429,0,108,189,29,2023,7,9,7,25,0
0,1,28,28,329,0,62,189,99,2023,7,9,7,25,0
0,1,28,28,362,0,24,189,45,2023,7,9,7,5,0
0,0,21,34,570,0,56,158,58,2023,7,9,7,35,0
1,1,34,34,165,0,18,158,101,2023,7,9,7,35,0
0,0,21,34,94,0,37,158,42,2023,7,9,7,40,0
1,1,34,34,369,0,35,158,92,2023,7,9,7,40,0
0,1,28,28,443,0,90,189,73,2023,7,9,7,45,0
1,1,34,34,100,0,8,427,260,2023,7,9,7,45,0
0,0,21,34,105,0,11,158,60,2023,7,9,7,45,0
1,1,34,34,489,0,33,158,92,2023,7,9,7,50,0
1,1,34,34,400,0,3,170,97,2023,7,9,7,55,0
1,1,34,34,467,0,17,183,115,2023,7,9,7,55,0
0,0,21,34,512,0,67,183,85,2023,7,9,7,55,0
0,0,22,25,395,0,56,189,56,2023,7,9,8,0,0
0,1,28,28,409,0,44,189,75,2023,7,9,8,0,0
